,brands,flavors,characteristics,text
5422,,,присыпка,присыпка же
5423,карачинская,,,карачинская
5424,баббл,,,баббл
5425,,шаверный,,шаверно
5426,,черный,пакетированный,черный пакетированный
5427,,,затычка,затычка
5428,almette,творожный,мягкий,творожный almette мягкий
5429,,индейский,котлеты,котлет из индейка
5430,,для стека,,соус для сте
5431, сельдь,", сельдь",,икра сельди
5432,,,для стекла,для стекла
5433,mac,radiance,,mac studio radiance
5434,,креатин,,креатин
5435,,с сыром,наггетсы (хрустящие),наггетсы с сыром
5436,мицелаппа,,мицельная,мицеляпная
5437,"Evervess, Elseve",,,evervess elseve
5438,Жрип,кофе,,кофе в жрип
5439,корйская,,,корйская
5440,Barilla,festivi,,barilla festivi
5441,,традиционный,домашние,домашние оладьи
5442,,,шнур,шнур
5443,,зеленистый,,зелень
5444,Nesquik,чиocolate,"жидкий, порошок",жидкий порошок
5445,,миндальное,,миндальное молоко
5446,гото,,гото (готовится без дополнительной кулинарной обработки),гото
5447,тирамис,,кремовый десерт,тирамису
5448,m&,,,"m&,"
5449,натура,сыр,в нарезку,сыр в нарезке натура
5450,,,40 den 5,колготки 40 den 5
5451,,рисовый,,рисовая каша
5452,,вишневый,,вишн вар
5453,пикадор,острый,,пикадор острый
5454,гигиничес,,,гигиничес
5455,,сладкий,сэндвич,сэндвич слад
5457,мажитель,, в тексте,мажитель
5458,,"лимонно, имбирный",,лимонно имбирь
5459,,овощные,,ассорти овощи
5460,Macy's,,,macy s
5462,апель,напиток,,напиток апель
5463,Барилла,,,макаро
5465,GV,печени,,печень гв
5466,Polar Ice,mint,"fresh, cool, refreshing",mint
5467,жаач,,,жаач
5468,часоль,,,часоль
5469,тёрк,,,тёрк
5470,дапник,,,дапник
5471,,,,вода г
5472,,соевый классический,,соус соевый классический
5473,,торти,,торти
5474,indominus,,,фарш indominus
5475,,тыковый,,суп из тыкв
5476,,языковая,,колбаса языковая
5477,,,,фарш индейки
5478,,,зарядные,зарядное устройств
5479,,грейпфруктовый,,вода с грейпфрукт
5480,,мороженое,,самокат мороженое
5481,,базилик,приправа,базилик приправа
5482,,"манго, шоколад",,манго в шоколаде
5483,acne,,,от acne
5484,нагенцы,,,нагенцы
5485,Karl,,,karl
5487,,грецкий,,грецкие ори
5488,,горох,,горох
5489,,юзюм,,с юзюмом
5490,самокат,алое,,напиток самокат алое
5491,вискас,,,корм вискас
5492,гортензия,,,гортензия
5493,,замороженные ягоды,,замороженные ягода
5496,джус,,,чай джус
5497,Геркулес,,,геркулес
5499,,птичий,,птичий
5500,птичья молоко,,,птичья молоко
5501,вольчек,,,хлеб вольчека
5503,romeo rossi,,,romeo rossi
5504,,сухой,"не имеет вкусовых нот, хрустящий текстурный продукт",суха
5505,,,"женские, размер 5",колготки женские 5 размер
5506,,для мусора,пакеты,для мусора пакеты
5507,,оливковое,,масло оливковое
5508,,сладкий,,крем сладкий
5509,иокороны,,,иокороны
5510,матиас,сельдь,,матиас сельдь
5511,,каппучино,,для каппучино
5512,la fam,,,la fam
5513,клобумица,клобуничный,,клубниуа
5514,Россия,,щедрая,россия  щедрая
5515,,,"масло, хлопковое",масло хлопко
5516,,болоньезе,,приправа болоньезе
5517,желе,,питательное молоко с добавлением кальция и железа,желе
5518,смеча,,,смеча
5519,бури,,неизвестен вкус (продукт назван 'бури'),бури
5520,ева коврик,,,эва коврик
5521,double,, вкусовые ноты,double
5522,ассорти,,конфета,конфета ассорти
5523,,тестовый,слоёное,тесто слоёное
5525,,,шпажки,шпажки
5526,кляра,,,сып в кляре
5527,seve,,,мясо seve
5528,перепелине,перепельный,,перепелиные
5529,mac,and ch,,mac and ch
5530,,,"бомбочка, ванна",бомбочка ванны
5531,,китайская капуста,салат,китайская капуста салат
5532,,,пласты,пласты
5533,Nutys,,,nutys
5534,Exponenta,,,exponenta
5535,,,"маленькие, салфетки",маленькие салфетки
5536,,капустный,,к капустой
5537,Смузи,боулы,,смузи боулы
5538,Baskin Robbins,"mint chocolate chip, cookies and cream",ice cream,2032
5539,,сал,,сал
5540,"Чернагалофка, Дюшес",,,чернагалофка дюшес
5541,бедро,,,бедро
5542,,женский,,шампунь женский
5543,фрикафельки,,,фрикафельки
5544,Хермес,"шоколад, манго, миндаль","кремообразные, гладкие, с высоким содержанием какао-бобов",сладости
5545,,особенно острий,,особо острый
5546,дриммс,,"безалкогольный, лечебный",дриммс
5547,natura,,,сыр мягкий natura
5548,узбек,,,рис узбек
5549,,,детская,вода дет
5550,,,мел,соль мел
5551,кинза,лер,,кинза лер
5552,сухарикп,,неизвестен (сухарик),сухарикп
5553,A4,попкорн,,попкорн а4
5554,инди,фарш,лайт,фарш инди лайт
5555,Минералька,,,минералку
5556,,фруктовый,,сок фруктов
5557,,фигувый,,мармелад фиг
5558,мираторг,,,мираторг ор
5559,,овощной,содержит 10 разных овощей,10 овощей
5560,макс,шоколад,,шоколад макс
5561,,,антиперспирант,антиперспирант
5562,Yokosun,XXL,,yokosun xxl
5563,,каша,,кашка
5564,lava,,,lava lava
5565,vifrwsh,, или других характеристик,vifrwsh
5566,вспениватель,,вспенивающий,вспениватеьь
5567,крендль,,,крендель
5568,,булка,для гам,булка для гам
5569, гири,угер,,онигири гири с угрем
5570,,суши (без конкретного вкуса),,суши
5571,,сухая рыба,сухая,рыбы сухая
5572,vella,,,vella
5573,MMS,,,mms
5574,,,пастила,пастила
5575,,ошивье,,салат ошивье
5576,,,для вечеринки,набор для вечеринки
5577,,лаваш,,лаваш тандыр
5578,хе,,из,хе из
5579,святой источник,маленькая вода,,святой источник маленькая вода
5580,стритфуд,,бренд уличного питания,стритфуд
5581,бульсен,,,бульсенм
5582,сады,,,сок сады
5583,Hall,,хрустящие,hall
5584,данис,,,данис
5585,,вари,вареники с гр,вари вареники с гр
5586,чевапчичи,,упомянутый - хрустящие,чевапчичи чи
5587,,протеиновый,,протеиновое
5588,Raffaello,"кокос, нотки марципана и миндаля",,raffaelo
5589,снежный,краб,,снежный краб
5590,сущен,,,сущен
5591,,сладкий,шарики,сладкие шарики
5592,,таболачки,набор для создания,набор для создания таболапок
5593,arge,,,паштет arge
5594,шополад,горкий,,горький шополад
5595,биолакт,,биологический,биолакт
5596,,,пикник,пикник
5597,,яичный,,яица
5598,склер,,,сыр склер
5599,Домик,молоко,из деревни,молоко домик в деревне
5600,,протеиновый,,протеинов
5601,едедневник,,ежедневный,едедневник
5602,Zandukeli,газ,"из Грузии, объем 0.5 л",из грузии напиток zandukeli с газом 0 5 л
5603,,маринованные огурцы,,огурцы мариноыаные
5604,,мясной (стек),,стейк мясо есть
5605,,без мяса,,котлеты без мяса
5606,,,обычная,свечка обычная
5607,,шоколадные,,шоколадные лепестки
5608,страчателла,,,страчателла
5609,,ежик,котлеты,ежик котлеты
5610,,,,сврдля бургеров
5611,самокат,творожный,,самокат творожный
5612,,,,духи женские
5613,,,,таблетки машины финиш
5614,,кокосовое,,кокосовое  масло
5615,,натертый,,сыр натертый
5616,,"пирожное, мясное",выпечка,выпечка пирог с мясом
5617,Tico,,,tico
5618,пантенол,,кей,пантенол кей
5619,,,бурата,бурата
5620,,слойка,с гущенок,слойка со сгущенка
5621,минтай,тушка,,тушка минтая
5622,,маленькое шампанское,,маленькое шампанское
5623,без ахара,ананас,,ананас без ахара
5624,поле,,чиабатта,чиабатта поле
5625,,острый,картофель фри,картофель фри острый
5626,,зеленый,,зелен
5627,Ахыз,,,ахыз
5628,ошашлык,,,ошашлык
5629,брь,,,брь
5630,,,для коктейлей,стаканчик для коктейлей
5631,cillit bang,,,cillit bang
5632,,,батончики,батончики
5633,,"булка, шоколад",,булка в шоколаде
5634,,,для запаха,листы для запаха
5635,Capiba,,,capiba
5636,индилайт,,,индилайт
5637,Zewa,,,zewa плюс
5638,,сырный,,сырные палочки
5639,тутрадь,,"неизвестен, поскольку в тексте  какие-либо характеристики кроме того, что это продукт",тутрадь
5640,,оливковый,,оливковое
5641,итальянские,,,хлебцы итальянские
5642,рист,,,рист
5644,lash clash,,,lash clash
5645,Светлаевo,,"спиртное, ликер",светаево
5646,сити,,ролл,сити ролл
5647,санфоо,,,санфоо
5649,чизкейк,"десертный, сладкий, чаено-сладкий",представляет собой десерт на основе теста из муки и сыра,чизкейк
5650,амер,,,хлеб амер
5651,,куриный,голени,куриные голени
5652,,"суши, авокадо",,суши с авокадо
5653,twix,соленая карамель,,twix с соленой карамелью
5654,,"соленые, рыбные",,рыба соленые
5655,,тыквенный,хлебный,тыквенный хл
5656,,черный молотый,,черный молотый
5657,Простоквашино,мягкий творог,,простоквашино мягкий творог
5658,рудка,,,я рудка
5659,"лимоны, апельсины",цитрусовые,,лимоны апельсины
5660,фрутоняня,кабачковый,,пюре фрутоняня кабачки
5662,,"ветчина, бегль",,бейгл с ветчиной
5663,lotte,,,lotte
5664,Полоскать,ромашковый,,ромашка полоскать
5665,горчи,,горчица,горчи
5666,коахмал,,,коахмал
5668,нигелла,,,нигелла
5670,ива,пельменный,,пельмени ива
5671,,морской,капуста,морские капуста
5672,безлактоз,сливки,,сливки безлактоз
5673,лед8,фруктовый,,фруктовый лед8
5674,Skittles,various fruit flavors,,skittles t
5675,Pingree,,,pingree
5676,,ананас,суш,ананас суш
5677,трип,,пакеты,трип пакеты
5678,,красные фрукты,,красные фрукты
5679,стрепсилс,,,стрепсилс
5680,,альгинат,"веганский, растительный",альгинат
5681,кролторг,,,кролторг
5682,Чехия,,чешский,чешский
5683,перчатки,,нитриловые,перчатки нитрило
5684,,овс,,каша овс
5685,Royal Conin,,,royal conin
5686,фхрикадель,,,фхрикадель
5687,,томатный,,томаты приправа
5689,Вкусно-Теево,сливковый,,сливки вкуснотеево 33
5690,,,золотой,золот
5691,,бекон,"чипсы, хрустящие",чипсы с  беконом
5692,,лечебный,,лечебная
5693,bmbbaro,,,bmbbaro
5696,,,лампадка,лампадка
5697,,,без пазов,салфетки без пазаодов
5698,святой источник,,,святой источник
5699,GoodMix,Twin Twin,,goodmix twin twin
5700,,,газированная,вода газир
5702,,ввареники,,ввареники
5704,Barilla,,,макароны для пасты barilla
5706,бабл,,"жидкость, бренд грибовного чая",бабл ти
5707,"Айсленд-Сорбет, Коко-Вайт","лимон, манго, яблоко, банановая","сорбет, безалкогольный",списки
5708,Балтийская,,,балтийская й
5709,,кофе,капсульный,кофе капсульный
5710,,лесные,ор,лесные ор
5711,,сыр,нарезка,сыр нарезка
5713,первый,творожный,,творожный первый вкус
5714,консерва,гор,,консерва гор
5715,,,"для масла, йомкость",йомкость для масла
5717,перг,,,перг
5718,,карамельный,калачики,калачики
5719,тальятелле,,,тальятелле
5720,,,,сок де
5721,,", ",,мясо  говядина
5722,,,литр,вода литр
5723,Maggi,,приправа для второго блюда,приправа maggi на второе
5724,,,кролики,кролики
5725,,брусникин,,брусника
5726,Quest,peanut butter,crunchy,нут
5727,,рифленные,чипсы,чипсы рифленные
5728,,копченая паприка,,паприка копчения
5729,,,средство  мытья пола,средство доя мытья пола
5730,,ароматизатор,не напрямую связанные с вкусом,ароматизатор авто
5731,двойные стенки,,с двойными стенами,двойными стенками
5732,напалено,,,напалено
5733,,,"минутка, ",стейк мясо есть минутка говядина
5734,dew,,,dew
5735,,колбасный,,колбаса может
5736,nordic,гречневый,,гречка nordic
5737,бананпюре,бананный,,бананпюре
5738,,,сменные,сменные картриджи
5739,Гостовский,,,вязанка гостовский
5740,,,кррахмальный,кррахмал
5741,salvador,мороженое,,мороженое salvador
5742,манго,манго,,мороженое манго
5743,бон,пари,,бон  пари
5744,фервекс,,,фервекс
5745,,сухарь,,сухар
5746,l'oreal,,,пудра loreal
5747,,компот,,компот
5748,евервейс,тоник,,тоник евервейс
5749,,,для мойки окон,для мойки окон резинка
5751,ирис,к и,,ирис к и
5752,,,игру,мягкие игру
5753,,,круглая,булка круглая
5754,,,грим,набор грима
5755,ватрушка,венгерская,,ватрушка венгерская
5756,пилот,,,пилот
5757,бальон,,"нет информации о вкусе или профиле вкуса, а также других характеристиках товара",бальон
5758,,jambon,,jambon
5759,,,мешки с объемом 200 л,мешки 200 л
5762,Лезка,,,лезка
5763,бритва,,муж,бритва муж
5764,tail,,,сгущенка tail
5765,,овший ассорти,,овощи ассорти
5766,кампота,,,для кампота
5767,,соевый,,соевый
5768,,,,вода 4
5769,сарлелт,,,сарлелтки
5770,b0,курица,,бутерброд с курицей b0
5771,,,для бритья ног,пена для бритья ног
5772,балыков,колбасный,,колбаса балыковая
5773,,"маслинный, сливочный",,маслины слив
5774,,желе,,мороженое с желе
5775,хот,,стар,хот стар
5776,ПВА,,клей,клей пва
5777,,,лампа,лампа
5778,,,сендвич ролл,сендвич ролл
5779,Гармония,с природой,,гармония с природой
5780,Taro,,,таро
5781,маслина,оливковый,,оливки маслины
5782,чупа чупс,кислый,,кислый мармелад чупа чупс
5783,без Dog,,хлеб,хлеб без dog
5784,лифтинг,,безалкогольный напиток,лифтин
5785,сширача,,,сширача
5786,,кокосовый,,печенье кокосо
5787,капсцино,,,капцсино
5788,судоски,,,судоски
5789,кархлеб,,,кархлеб
5790,Armani,,,armani тени
5791,Mentos,,,mentos
5792,dira,,,dira
5793,панне,,хрустящие,панне
5794,,яблочный,для шарлотки,яблоки для шарлотки
5795,iphone,,стекло,стекло iphone 15
5796,помид,помидорный,,помид
5797,MaxFan,,,maxfan
5798,хинкалия,,,хинкалию
5799,Lipton,"холодный, зеленый",,холодный зеленый чай lipton
5800,,брынза,,брынза
5803,,лепешковый,,лепешки от
5804,Буше,рустик,,буше рустик
5805,Бренд ,мороженое,,морожено
5806,,гречневый,,гречка
5807,боул,,"боул - это продукт, представляющий собой замороженный десерт в виде чаши с различными добавками. Как правило, в боуле могут использоваться разные фрукты и соки, кремы и покрытия.",боул
5808,chupa,кислый,,кислый мармелад chupa
5809,,протеиновый,,протеино
5810,,шоколадный,,шоколадка
5812,Milka,,,milka
5813,Аркадия,кофе с лаймом и манго,"безалкогольный, содержит кофеин",момен
5814,,печеные перцы,,перцы печеные
5815,цыкты,,,цыкты
5817,,молочный,,milk
5818,Nishman,,traditional matzo ball soup mix,nishman
5819,творо,"фруктовый, ягодный",,творо фрутоняня
5820,чупа ч2пс,,,чупа ч2пс
5821,чупачупс,,,чупачупс
5822,вертушек,,,вертушек
5823,,деревянный,деревянная,деревянная
5826,,лепешки,,лепешки
5827,,"десерт, соленая карамель",,десерт с соленой карамелью
5828,бальзами,,,бальзаи
5830,кикер,,,кикер
5831,,фиги,,фиги
5832,марк,,,марк
5833,чебупица,,,чебупица
5834,маршмеллоу,,,маршемелоу
5835,,,тесто для лазани,тесто для лазани
5837,горр,,,горр
5838,,тушеная свинина,,тушенная свинина
5839,,солонка,дорожная,солонка дорожная
5840,без глютена,,хлопья,без глютена хлопья
5841,,малосолёная форель,,малосоленая форель
5842,фунчеза,,,фунчеза
5843,балансирующий сад,,"балансирующий, здоровый",балансирующий сад
5844,,,гиалуроновая,маска гиалуроновая
5845,snaq,,,snaq
5846,свити,,пирожный десерт,свити пай
5847,манн,,,манн
5848,,корневой,,корни
5849,мине,,,мине
5850,черноголовак,черноголовак,,с черноголовка
5851,моринованны,,солодо-ореховый,моринованн
5852,fructi,,,fructi
5853,натурела,,,прокладки натурела
5854,пакоабо,палочковый,палочки,пакоабовые палочки
5855,брускетта,вяленые томаты,,брускетта из вяленых томатов
5856,,пармезан,,пармезан ла
5857,диниссимо,"йогурт, динный",,йогурт диниссимо
5859,,питьевой,протеиновый,протеин питьевой
5860,смесь,,вкусовая смесь,смесь ва
5861,ливочный,,,сыр ливочный
5862,тизин,,,тизин
5863,корпачо,,,корпачо
5864,zoo,,наполнитель,наполнитель zoo
5865,,,кухонная,кухонная бумага
5867,,копченая свинина,,копченая сви
5868,,домный,,квас домашний
5869,,,свеча,свеча
5870,,,масло,масло сли
5871,пшикалка,,,пшикалка
5872,,вафельный,,вафельный
5873,,лимонный,,мыло лимонный
5874,eks,,,eks
5876,,капуста,кис,капуста кис
5877,,,пятно,детский пятно
5878,creative,курица,,creative с курицей
5879,,цыпленок,пуре,пюре цыпленка
5881,белые вещи,,для белого тела,гель для белых вещей
5882,лейс,,,лейс
5883,стэей,, вкус или профили вкусовых нот,стэей
5884,,кислотный,,ли она кислота
5885,,креветковый,азиатский,азиатская тарелка с креветками
5886,состка,,,состка
5887,чистая,шоколад,,шоколад чистая
5888,,,выпечённые,выпе
5890,Max Fanta,оригинальный (фруктовый),,макс fanta
5891,Дорадо,солёный,,дорадо
5892,,творожный,сгущенка,творожный сырок сгущенкой
5893,чли,,сыр,сыр чли
5894,саф,дрожжи,,саф момент дрожжи
5895,вискас,,,для котят вискас
5896,далимаг,,,далимаг
5897,,,хлопья,хлопья
5898,марил,,,марил
5899,картоель,,фри,картоель фри
5900,ерш,,,ерш
5901,Choco Pie,шоколадный,,choco pie
5902,,безалкогольное,,вино безалкогольное
5903,,кофе,топинги,топинги для кофе
5904,Maggi,нежный филе куриной,,maggi для нежного филе куриной
5905,,зеленый,чипсы,чипсы и зеленью
5906,,,нитки,нитки
5907,бонджо,,,бонджо
5908,лит,энергетик,,чипсы лит energy
5909,,крылышки куриные,,крылышки куриные
5910,трис,печень,,печень трис
5911,,сладость,,сладость эх
5912,,для молодости,,для молодости
5913,,,"для волос, рассечка",рассечка для волос
5914,айнергетик,,,aynergetic
5915,,протеиновый,,протеиновый пудинг
5916,,рисовый,,рисовая мукв
5917,,,,мягкий творог
5918,бамбуковая,,"барьер для курения, экологически чистый",бамбуковая
5919,снеки,рыбный,,снеки рыба
5920,Сибирская коллекция,,,сибирская коллекция ли
5921,,глазированный,,батончики глазированные
5922,,ролльный (обычно содержит разнообразные ингредиенты),"Еда, питательная",еда ролл
5923,кофе молот,,,кофе молот
5924,Царские припасы,квас,,квас царские припасы
5925,ВК,,социальная сеть для общения и обмена содержанием,в вк
5926,Lenor,,,lenor
5927,,кальмар,стружка,стружка кальмары
5928,,,одноразовая посуда,одноразовая посуда
5929,,,ремень,ремень
5930,уж,креветковый,,креветки уж
5931,,приправа,к карту,приправа к кар
5932,маршмллоу,,"софти, вкус ",маршмкллов
5933,,печень,,паштет из печени
5934,,томат,,сухарики томат
5935,,картофельный,готовая,картофель фри готова
5936,,,совы,совы
5937,,,pallet,pallet
5938,транспортир,,треугольные,треугольники транспортир
5939,,,для посулы,жидкость для посулы
5940,,,товар 18+,товар 18+
5941,френч доги,,,френч доги
5942,,,пластиковые для питья,трубочки пластиковые для питья
5943,,апельсиновый,,апельсиновый сок
5944,,,крем,крем чиз
5945,королевский,краб,,королевский краб
5946,март,,шампунь,шампунь март
5947,Snickers,сливочный с кокосовым наполнением и пекан-нутами,,snickers
5948,,морковь,,морковь по
5949,кривошея,,,кривошея
5950,,горчица,,горчица на
5951,каял,,,каял
5952,,масло морепродуктов,,в масле морепродукты
5953,,мука рисовая,,мук рисовая
5954,,без приправы,,вода без приправа
5955,,бекон,,бекон
5956,пахлава,,,пахлава
5957,,с дольками,,с дольками
5958,бамбл,,,бамбл ти
5959,смузи,,,смузи
5960,тарталеткт,,,тарталеткт
5962,,,"женские, белые, длинные",носки белые женские длинные
5963,", крылья",,,стрипсы и крылья
5964,,выпечка,,выпечк
5965,сазара,,замен,сазарозамен
5966,кориандр,"молотый, кориандр",,специи молотый кориандр
5967,,,начос,начос
5968,kit,, характеристики,kit
5969,Merries,,,подгузники трусики merries
5970,bic,,,bic
5971,бпшка,,,бпшка
5972,mo,,,энергетики mo
5973,,топленое,,печенье топленое
5974,,горох,,все горох
5975,,имбирный,,имбирное печенье
5976,монтера,мороженое,,мороженое монтера
5977,,мука,не связана напрямую с типом продукта/названием товара,мука о
5979,,тортовое,,масло для торта
5980,,,для животных,уход для животных
5981,,,латекс,перчатки латекс
5982,,овщные,,овощные ко
5983,,кофейный,дрип,дрип кофе
5984,,,булка,булка
5985,губка,,длч,губка длч
5986,,,для кальяна,для кальяна
5987,биоюаланс,,брендированный как здоровый продукт,биоюаланс
5988,сырчеддер,сырный (чеддар),,сырчеддер
5989,,без сахара,,йогурт без сахара без
5990,,пикантная,,слойка пикантная
5991,Snickers,мороженое,,snickers мороженное
5992,liking,,нет явной информации о вкусовых нотах или других характеристиках,liking
5993,arive,,бальзам,бальзам arive
5995,,абрикос,,джем абрикос
5996,,резинки,,резинки
5997,менмука,,,менмука
5998,,куриная,,куриная ветчина
5999,вкусьняжки,,,вкусьняжки
6001,лины,,,лины
6002,сушеманго,,сушёный манго,сушеманго
6004,,зеленый чай,,самокат зеленый чай
6005,милка,,,палочки милка
6006,,сливочное,180,сливочное масло 180
6007,,гранат,,с гранатом
6008,,яблочный,,яблоко
6009,снежок,кисломолочный,,снежок кисломолочный
6010,адниралин,,,адниралин
6011,самокат,апельсин,,печенье самокат апельсин
6012,,мясной,пирог,с мясом пирог
6014,,перец черный,молотый,перец черный молотыц
6015,,,,белый
6016,конинири,,,конинири
6017,,газ,,вода газ
6018,грабли,box,,грабли box
6019,вивьен,,,тушь вивьен
6020,пуддинш,,"крем-де-ла-крем, сладкий десерт",пуддинш
6021,,,для пола,тряпка для пола
6022,Freedom,,"Organic, Non-GMO, Gluten-free, Vegan, Soy-free, Dairy-free",freedom
6023,teos,йогурт,,йогур teos
6024,,,рессора,рессора
6025,Royal Cabin,,корейский напиток,royal cabin
6026,,,краска для головы,краска для головы
6027,,,от ожога,пластырь от ожога
6028,осало,,,осало
6029,корзиночка,,десерт,десерт корзиночки
6030,,,лок,без лок
6031,ролщ,,,ролщ
6032,чехах,, в тексте,чехах
6033,модитель,,,модитель
6034,,,лопаточный,лопаточ
6036,корвино,,,коровино
6037,лаз,,,лаз
6038,,холодный,,холодный
6039,,мятный,,мята
6040,эйрвик,,,эйрвик
6041,,,"женские, ежедневные",прокладки ежедневные женские
6042,кортощ,,,кортощ
6043,Скумбрия,копченый,,скумбрия копченая
6044,,консервированный,кукуруз,консервированный кукуруз
6045,уоповка,,,вафли уоповка
6046,,клубника и таро,,с клубникой и таро
6047,песир,,сливочный сыр,песир
6048,бам барни,,,батончики бам барни
6049,,копченый,,копченое
6050,уйгур,,,лагман уйгур
6051,,злаковый,,питьевой йогурт злаковый
6052,поке,креветковый,,поке боул с креветками
6053,bombbar,без упоминания вкуса,протеиновый,батончик протеин bombbar
6054,,фет,,фет
6055,,зеленый,,салат зелень
6056,зеленоеяблоко,,,зеленоеяблоко
6057,ric,,,сок ric
6058,,маринованный,,маринованный
6059,открытка,,,с 8 марта открытка
6060,8 76,,оттеночная,оттеночная маска 8 76
6061,j7,,,со j7
6062,,миндаль,,эскимо миндаль
6063,добры,,,добры
6064,,"пельмены, индейский",мясной,пельмени с индейка
6065,барни мишка,,,барни мишка
6066,,ппченье,,ппченья
6067,,творожный,протеин,творожный сырок протеин
6068,,,пельмень,пельме
6069,,"курица, кислый",,курица в кисло сла
6070,Kindet,шоколадный,,шоколад kindet
6071,чизкейк,"крем, чизкейк",,крем чизкейк
6073,,сырой,,сырода
6074,,овощи,,овощи
6075,умцвалка,от прыщей,,умцвалка от прыщей
6076,дрширпк,,,дрширпк
6077,бифилайф,,бекон,с бифилайф
6079,snap fabriq,,,snap fabriq
6080,,,,салад
6081,дюшес,лимонад,,лимонад самокат дюшес
6082,drei,,,drei
6084,,,паста,паста
6085,,шаурмы,,шаурмс
6086,откоытка,,не имеет явного описания вкусовых нот,откоытка
6088,,куриная,,куриная грудка
6089,,,"сухой, хрустящий",хрутка сухой завтрак
6091,страчеиелла,,,страчеиелла
6092,,,"хрупкая, белая",сольх
6094,president,brie,,president brie
6095,,без упоминания вкуса,перики бамбука,побеги бамбука
6096,Rexona,,мужской дезодорант,дезодорант rexona мужской
6097,люляб,,,люляб
6098,,,,сахар рафинад
6099,,сырокопченый мясной,,мясо сырокопченое
6100,,мятные,,мятные ле
6101,,грудковый,,грудка
6102,,маскарпоне,блинчик,блинчик с маскарпоне
6103,милка,шоколадный,,шоколадка милка
6104,,,защита,стекло защ
6105,,окон,,окон
6106,,,мыло для рук,мыло для рук
6107,слон,,каша,каша слон
6108,курса,,,курса с
6109,селедка матье,,,селедка матье
6111,gel bimax,,,gel bimax
6112,стародавние,,колбаса,колбаса стародавние
6113,киноа,мираторг,,киноа мираторг
6114,,,хризантема,хризантема
6115,коровка,,,творожок коровка
6116,,питание,крем для лица,крем для лица питание
6117,milk,шоколад молочный,,шоколад молочный milk
6118,хикали,,,хикали
6120,семгв,,,семгв
6121,,блины,с пылу жара,блины с пылу жара
6122,Агуша,био кефир,,био кефир агуша
6123,ан,,жидкое,жидкое мыло ан
6124,,фисташковая,,фисташковая паста
6125,миндаль,"молочный, миндальный",,молоко миндаль
6126,готовая,,грудка,грудка готова
6127,,помидорный,,помидо
6128,,псиж,,минералка псыж
6129,прошутто,прошуттовый,,прошутто
6130,,рассол,,рассол г
6131,профетроль,,,профетроль
6132,mama jama,,,mama jama
6133,de,,дезодорант,дезодорант de
6134,"блок1, блок2, блок3","фруктовый, шоколадный, ореховый","сменные, легкие, крепкие",со сменными блоками
6135,,пирожные,,пирожки
6136,,"толченка, котлета",,толченка и котлета
6137,,макадамич,,макадамич
6138,баюбл,,содержит хрустящие кукурузные палочки,баюбл
6139,брускетта,,,брускетта
6140,майка,,,майка сп
6141,,,flax (linseed),flax
6142,,,шарики,шарики г
6143,Чорни,головка,,чорни головка
6144,,,полоски,полоски вос
6145,бархатный мед,томаты,,томаты бархатный мед
6146,Балтика,,,балтика
6147,папа,колбасный,,колбаса папа
6148,ав,для жарки,,масло ав для жарки
6149,PlayStation,,,playstation
6150,утенок,,"печеный, мясовой",утенок
6151,,копченая,,копченая колбаса
6152,,,айсберг,салат айсберг да
6153,,сливочный,плавленый,сыр плавленый сливочный
6154,мартоделл,,,мартоделл
6155,,капустный,,капуст
6156,,,крафтовая,крафтовая посуда
6157,Black Angus,пельмень,,пельмени black angus
6158,саша,,,саша
6159,,,,мясо детское
6160,филевсоке,,,филевсоке
6161,сахартесто,,,сахартесто
6163,,овощенный,,пюре овощной
6166,киндер,шоколадный,,шоколадное киндер сюрприз
6167,,,завтр,завтр
6168,зерро,,"зерновой, хрустящий",зерро
6169,дош,рак,,дош рак
6170,,лесные,,лесные я
6171,,варенный,,сгущенка варена
6173,самокат,,"белый, хлеб",хлеб белый самокат
6174,,,,картофель вареный
6175,лонг,слив,,лонг слив
6176,рассрой,,нет вкусовых нот или описания указано,рассроь
6177,,слойка,в форме,слойка в форме
6180,дошик,,,дошик
6181,Яшкино,,,яшкино
6182,миротрог,,,миротрог
6183,,ветчиный,,ветчи
6184,чебупэли,,,чебупели
6185,тетрадь,,тетрадью,тетрадью
6186,Олег,,твердый,твердый олег
6187,бон пари,мороженое,,мороженое бон пари
6188,,,трубочка,трубочку и
6189,,,моющее средство для посуды,моющее средства посуды
6190,,,антисептик,гель антисептик
6191,,,,вода для линз
6192,,,для белья,для белья вернель
6194,черные,черри,,черные черри
6195,редс,,,reds
6196,торнадо,,,торнадо
6197,,тоал,масло,масло тоал
6198,,"куриное, капуста",нежность,филе куриное нежность с капустой
6199,mentos,,,жвачка mentos
6200,,,на ужин,на ужин
6201,армяес,,,армяес
6202,,сырный,,сырный
6203,Шомапанское,,,шомапанское
6204,мак,анд чих,,мак анд чих
6205,,тортилья (не определен вкус),пирожные из теста из кукурузной муки,тортилья от
6206,,шоколадный,,cocktail шоколадный
6207,,от селедки,,икра от селедка
6208,,малокалорийный,десерт,малокалорийный десерт
6209,,,вспениватель,вспениватель
6210,,маска,не присутствуют,маски
6211,Аккульчев,,,аккульчев
6212,,липидный,,липидный
6213,,"вареное, копченое",грудка,варено копчения грудка
6214,,куриный,,куриные едра
6215,горгонзола,,итальянский сорт сыра с натуральным мёдом,горгонзолой
6216,,сырный,булочка,булочка сырная
